id,coordenada_longitud,coordenada_latitud,direccion,construccion_fecha,institucion_ruc
23,139.046010,-36.677049,"5466 Andrews Stream
East Rachaelfurt, PA 88465",2011-10-29,91193723702
24,-101.886538,41.418961,"1264 Bishop Well
Barnesmouth, HI 03237",2003-10-12,94898948659
25,-124.400355,-45.743299,"USCGC Lynch
FPO AE 76712",2012-07-21,94861128576
26,-81.872604,25.969630,"37032 Jones Pass Suite 961
North April, FL 98829",1998-02-27,40115239275
27,-81.630492,13.3373195,"14015 David Flats
Lake Joshuamouth, CO 64253",2019-08-16,22472615521
28,-103.602871,-23.0987875,"86037 Todd Mountains Apt. 842
West Tammyfurt, IL 45657",1995-04-11,95085605332
29,-103.477960,-70.731539,"148 Zuniga Ville Suite 038
Batesfurt, MI 67706",2011-11-21,94861128576
30,-105.928936,54.578508,"5842 Gary Parks
Larsonmouth, MN 54400",2010-09-28,98806427657
31,-14.076221,-28.7571325,"5608 Perry Fort Suite 019
New Angela, OK 60994",2007-02-14,42287280600
32,98.939968,24.8420145,"Unit 2877 Box 2091
DPO AA 94979",2001-07-14,28315205596
33,-34.141295,60.7784515,"705 Amber Highway
Stephenberg, VI 41871",2011-01-30,12041262131
34,176.871702,-50.3551485,"3871 Carl Hollow Suite 865
Smithview, KS 07355",2011-04-02,22000563558
35,30.965861,-69.531717,"68708 Bryan Fields Apt. 736
Cooperberg, PA 63975",2016-01-08,83423591462
36,46.050055,-22.951418,"94026 Sharon Mission Suite 816
Andrewville, MO 31308",2004-09-23,62934166811
37,-172.803822,41.526858,"460 Kathleen Gardens
New Patrickmouth, OH 28765",2008-10-06,83423591462
38,-147.037920,24.0903495,"70078 Shane Trail
Bennettfort, MT 43210",2011-05-14,83736022361
39,179.621271,-42.7997265,"0161 Munoz Village
South Jamesbury, OR 96702",2006-09-06,94861128576
40,56.671808,45.773088,"82172 Pratt Junctions Apt. 800
Melissamouth, IL 96690",2007-12-10,35293033746
41,-123.426535,77.1213595,"74711 Justin Forks Apt. 050
Anthonyland, GU 18332",2002-09-09,76151073701
42,73.300830,34.492092,"3843 Roger Cove Suite 946
Lake Tracy, IN 42504",2009-06-03,31203008464
43,1.609473,-47.0867415,"54540 Potter Light Suite 806
West Ericchester, MT 94499",1997-05-14,91193723702
44,105.471009,-43.2306705,"249 Lewis Village Suite 072
Ginaton, AS 10585",1995-06-26,37262282872
45,80.655660,75.5045155,"53777 Tracy Junction
Pittmanville, FL 76959",2004-01-26,26110760264
46,107.837096,-72.093272,"18160 Matthew Heights Suite 469
Christopherfort, PW 38173",2015-09-18,35293033746
47,-163.475380,28.190480,"3010 Gomez Gateway
Port Ericfurt, DC 72556",2019-04-27,95962227487
48,42.649425,-46.1118645,"812 Sims Prairie
Edwardsbury, MO 21057",2020-06-03,62934166811
49,-55.437890,71.293689,"8066 Sylvia Forge Apt. 727
South Maryberg, CA 94249",2010-08-16,32697852749
50,10.500649,-81.5731815,"83365 Kaitlyn Knolls Apt. 996
East Jenniferfurt, IA 01320",2013-02-25,13095294053
51,-106.514500,18.271384,"167 Jeffrey Street Apt. 541
East Gregory, RI 91127",2019-05-25,18062134927
52,149.081533,87.7043185,"275 Jonathan Garden
South Jerry, CA 22574",1998-05-04,37262282872
53,-173.491444,15.880165,"46539 Edwards Wells Apt. 110
East Drewtown, NV 43841",1997-07-09,63207215632
54,78.091895,51.855509,"USNS Wheeler
FPO AE 01464",2012-04-02,47029283611
55,-174.162358,-1.099872,"31245 Horton Spur Apt. 979
Kirstenborough, ND 99732",1999-02-19,68468278362
56,139.677518,-43.4657125,"72815 Jill Lights
Dayland, NM 45775",1997-08-09,61479744600
57,160.535543,-17.353700,"496 Washington Points
Randallview, MH 17982",2022-03-31,12041262131
58,149.516033,-40.276312,"4201 Steven Well Apt. 489
North Matthew, AS 73106",1999-03-01,63207215632
59,-120.276282,36.398582,"08049 Moreno Forges
Cervantesview, VA 00929",1998-01-17,87298787689
60,119.984416,68.9679175,"345 James Pass Apt. 849
Howardton, VI 64374",2010-07-31,38519996953
61,179.501510,71.539364,"Unit 1269 Box 2326
DPO AP 68003",2005-10-09,13095294053
62,25.297237,24.5263505,"USNS Johnson
FPO AE 38404",2021-06-28,53975952127
63,150.713514,-51.815909,"Unit 9709 Box 2123
DPO AA 80831",1997-04-02,63449877706
64,-126.302195,42.6705995,"2430 Jason Grove Suite 283
Melanieburgh, MI 70939",2023-06-02,64993581178
65,83.023082,-34.155737,"7463 Adam Squares Apt. 228
Waynefurt, MP 52028",2004-09-13,60631077754
66,-82.648859,-22.102807,"89689 Nunez Court Suite 158
Michaelshire, RI 74596",2021-12-04,11413035911
67,52.502944,79.108952,"361 Alexandra Village
Robertfort, IL 47535",1997-02-25,98806427657
68,110.951758,22.141120,"446 Lindsay Forge Suite 906
Macdonaldmouth, TX 24921",2000-05-09,22386199985
69,163.206455,-66.1751255,"28499 Colleen Hills
Brewerside, WA 19694",2000-02-15,22000563558
70,122.682361,51.8854635,"654 Wallace Plains Apt. 630
Jenniferport, FM 05164",2004-02-12,28315205596
71,-131.060522,-51.210780,"093 Lindsey Terrace Apt. 241
Lake Jillburgh, VI 75176",2009-08-29,58187381119
72,99.637640,-24.312139,"PSC 3779, Box 3989
APO AP 55519",2012-02-10,49553443531
73,110.170912,12.7591365,"342 Mark Way
New Joshuahaven, GA 03855",2007-03-10,22472615521
74,-61.184431,28.251785,"4161 Ritter Forks
Petersonmouth, FL 26437",2004-03-03,11413035911
75,171.261188,31.0942165,"46680 Rachel Ports Suite 600
North Andrea, ME 38000",1998-12-23,92228135125
76,69.192912,62.784387,"8980 Katrina Park
Oconnorbury, SC 17043",2006-05-05,83423591462
77,-71.890496,48.931123,"79025 Briggs Track Apt. 472
North Tamara, IA 40370",2011-02-06,52195774438
78,68.396714,-26.4951335,"04900 Tracy Burg
South Erin, AK 74284",1998-12-07,18062134927
79,-77.496500,-14.740061,"PSC 9525, Box 6280
APO AP 74436",2016-03-11,35293033746
80,167.075048,32.9337255,"0680 Joseph Circle Apt. 677
South Christopherton, CA 74770",2007-11-16,95962227487
81,-88.112970,36.0120865,"2698 Cindy Turnpike
Stephaniemouth, MN 27230",2003-05-17,24225851642
82,12.743881,-9.4617605,"52852 Horton Corner
Port Susanton, LA 79885",1995-07-13,74544110831
83,-58.722148,87.0479775,"836 Long Cove Suite 827
Alexside, SD 12482",2012-08-15,83736022361
84,172.057816,-2.577909,"01697 Tanya Lights Suite 990
Lake Evelynburgh, RI 11332",2020-09-03,13095294053
85,-167.217108,7.439156,"696 Tucker River
Rebeccamouth, FL 99925",2020-07-18,60631077754
86,94.095280,61.3682275,"Unit 3957 Box 5612
DPO AA 78457",2013-01-14,18900165368
87,-26.831403,-69.9700235,"200 Deborah Way
Seanborough, FL 44146",2017-05-07,64993581178
88,49.877392,-74.448570,"51815 Teresa Trail Suite 541
Lake Shelby, UT 89333",2023-11-21,27790438163
89,161.575940,-28.076898,"PSC 5735, Box 5507
APO AE 85746",2011-10-23,37262282872
90,-164.773783,-61.9860025,"63747 Jackie Locks
Dianeberg, RI 48139",1998-06-13,48829616083
91,120.882453,-34.405811,"48632 Laura Drives Apt. 771
Patriciaburgh, CA 22498",2004-12-18,13570970841
92,-20.102589,-79.761726,"1045 Coleman Tunnel
North Matthewville, NE 99327",2021-09-02,76151073701
93,-81.066756,-39.3153535,"60652 Martin Plain
Sheilaton, NY 05164",2018-01-11,87298787689
94,138.178879,71.514888,"2954 Daniel Estate
South Austinview, WA 70241",2014-10-17,21459776980
95,114.675422,58.184808,"2627 Bonnie Crescent
North Vanessashire, CT 70701",1994-12-22,16104477962
96,-6.043567,-83.443601,"PSC 0333, Box 9457
APO AP 12991",2021-12-28,81117490392
97,-90.012288,-4.817936,"25127 Sarah Rapid
Lake Davidton, GA 14731",2001-03-11,11503216226
98,-39.674051,64.459303,"18247 Maria Meadows Apt. 397
East Kristenside, PA 14344",1995-08-16,66966274722
99,79.387077,68.3120655,"USS Jones
FPO AE 43469",1997-12-05,49708302150
100,-43.054576,-45.549716,"86156 Rojas Lake Suite 851
Port Bradley, DE 91834",2005-08-11,43089975300
101,44.306815,49.5548945,"45929 Latoya Islands Apt. 024
Amberchester, GA 53403",2012-12-04,49553443531
102,-174.164785,14.1079185,"7601 Cardenas Ports
New Johnmouth, WA 14661",2009-05-08,22386199985
103,-158.110991,14.9613355,"6456 Patrick Fork Suite 790
South Lisatown, NM 46715",2007-01-28,88436121503
104,-168.011966,-45.8328945,"Unit 3789 Box 3533
DPO AE 07407",2009-01-28,16104477962
105,-93.107399,66.995197,"857 Zimmerman Bridge
East Franciscoville, NH 24637",2006-02-11,67590115681
106,174.017867,-5.5121655,"204 Miller Creek Apt. 837
Youngstad, MP 73687",1997-03-30,64993581178
107,9.752898,-78.680859,"3810 Boone Roads
Port Brandon, NE 20415",2008-03-10,66966274722
108,98.119303,-69.1049315,"93850 Simon Centers Suite 813
South Teresamouth, VA 04693",2015-01-06,75470402561
109,-135.930456,-43.032446,"240 Don Mountain Suite 395
Port Nicolechester, HI 98041",2007-11-22,61479744600
110,-122.319067,-42.698122,"59789 Larry Well
Mullinsmouth, FL 80749",2010-09-21,98806427657
111,147.565697,-34.368684,"6303 Matthews Rest
Lake Davidberg, OR 56534",2001-11-21,22000563558
112,-128.008850,72.343120,"PSC 9175, Box 2890
APO AP 85565",1996-08-23,56846955256
113,116.880841,3.060818,"99415 Medina Dale
Brandtfort, RI 77825",2015-05-17,71118565028
114,-169.283732,44.8835995,"7010 Smith Stravenue Suite 285
East Micheleland, GU 04525",2001-03-29,52195774438
115,-162.521524,62.5105765,"646 Warner Parks Apt. 602
Lake Williamburgh, GU 64869",2009-03-12,68641116798
116,-92.171498,31.5402465,"08029 Ann Crest
Lake Isaac, IN 52994",2012-09-30,83423591462
117,-108.825818,73.680098,"6994 Benjamin Lake Apt. 581
East Charlesshire, MS 31741",2011-08-24,68641116798
118,-48.093830,-38.803266,"666 Davis Meadows Suite 680
Wrightmouth, IL 20435",2006-11-20,16174323824
119,-167.268554,-9.230151,"46298 Brian Place Apt. 180
Antonioland, AL 64956",2010-09-19,16174323824
120,-140.680935,84.753353,"28618 Christina Prairie Suite 520
Joneshaven, WY 50746",2020-08-05,76151073701
121,3.566948,-81.489738,"0882 Jones Mountain Apt. 684
Keithstad, NV 90208",1999-02-02,49553443531
122,10.365136,-50.185901,"79224 Lisa Squares Suite 307
Mathewborough, KY 49285",2015-05-23,37155483128
123,167.810453,-49.482862,"8462 Ryan Ramp Apt. 949
East Sherri, DC 22413",2005-07-14,69943321639
124,156.232366,18.446916,"56220 Jennifer Turnpike Suite 735
Port Davidland, NM 53398",2015-09-23,37239966913
125,-56.204893,-53.191651,"PSC 6172, Box 9066
APO AP 86584",2018-07-02,56846955256
126,86.291915,-32.0918245,"4921 Danielle Forge
Port Thomas, WI 74839",2015-04-21,19723973152
127,136.858831,89.6651635,"6971 Horton Circles Apt. 171
Roseborough, NY 66093",2014-05-11,56846955256
128,-96.913893,-75.466600,"29570 Michael Gateway
Ericshire, PW 55180",2014-03-05,51606694807
129,50.841788,-18.2825085,"181 Angel Forest
Grimeshaven, NV 47466",1995-03-10,11188370009
130,56.301191,77.4492365,"17233 Marc Dam
Bellview, AL 58035",2010-05-16,56846955256
131,109.619123,84.207152,"50155 Michael Land
North Richard, VA 48181",2009-12-12,87298787689
132,-144.667197,11.1349855,"9718 Julie Hills
West Jonathan, UT 44150",1996-12-02,92228135125
133,70.575046,-6.1572405,"780 John Stream Suite 718
East Danielview, MD 38161",2023-09-27,43089975300
134,-64.984052,-22.304547,"327 Maurice Parks
Karenshire, PR 12198",2007-12-28,37262282872
135,26.031623,-85.130087,"764 Donald Lodge Apt. 316
Lorraineshire, MN 49530",1998-12-26,83423591462
136,11.276154,79.1816305,"655 Kathryn Inlet Apt. 175
South Deborahview, RI 33506",1997-11-22,22472615521
137,123.574789,66.0767885,"911 Hall Plains Apt. 992
New Marymouth, ME 69000",2012-02-19,43089975300
138,-62.086696,-38.568590,"0813 Erik Springs
Johnsonshire, KY 48207",2013-08-04,94861128576
139,152.487413,51.3047345,"31915 Carter Walk
Johnsonland, ME 46663",1997-10-21,55612886779
140,-103.418414,21.0169445,"929 Hunt Loop Apt. 793
Stephenville, AR 66270",2007-04-10,71118565028
141,137.172832,47.9164655,"22974 Stephens Creek Suite 468
Lopezside, MO 93301",2008-09-02,49553443531
142,-41.326955,53.2037625,"524 Robert Mission Apt. 284
Andrewfort, WY 94519",2011-03-06,80284223901
143,-147.722956,85.572854,"11978 Rickey Village
North Davidshire, NJ 25209",1998-03-04,16174323824
144,99.840459,-62.098602,"PSC 8581, Box 9727
APO AP 59483",2007-12-13,48829616083
145,98.114250,-11.156489,"68818 Harris Keys
Zhangborough, AL 96318",2014-01-16,56846955256
146,-149.249131,-21.9553875,"9602 Joseph Camp
North William, GA 05088",2021-09-08,51606694807
147,-105.152857,-4.6439045,"PSC 2513, Box 3107
APO AA 43587",2002-08-27,23077202937
148,-19.485105,-89.7221355,"81450 Perez Viaduct
East Melanie, KY 63014",2014-08-15,68641116798
149,133.698081,-27.5609465,"020 Fernandez Stream
East Deannahaven, CT 66536",2009-10-19,11413035911
150,-6.010437,85.7048345,"41997 Tasha Highway
Davidside, WI 41462",2013-09-10,60631077754
151,93.342420,-21.4206235,"03701 Morton Points
Davisbury, TX 78540",2001-12-13,31203008464
152,-168.557195,-26.7555655,"150 Rodriguez Throughway
Joshuastad, OK 48727",1995-02-05,35429887129
153,173.347481,-62.8036165,"14172 Johns Cliff
Lake John, MT 96190",2009-06-19,17809010449
154,19.150665,-86.749519,"6540 Cassandra Run
Steventown, MD 49559",2020-01-04,11569392896
155,-108.285493,87.445843,"865 Mayer Walks
New Craigborough, NC 21454",2007-11-23,17809010449
156,-13.618383,-6.1475025,"76629 Mark Stream
Lake Jamesfurt, MA 06290",2013-08-20,63449877706
157,141.185065,33.193138,"6502 Ryan Inlet
South Benjaminborough, SC 42046",2016-04-01,22472615521
158,-79.343251,10.526352,"171 Isaiah Brooks
North Ricardoborough, LA 45968",2001-06-24,24225851642
159,81.226510,0.8417305,"36034 Melissa Squares
Jessicastad, NH 35814",1995-02-23,31448412680
160,28.259252,86.033672,"2161 Jones Mews Suite 647
South Grantberg, KS 98662",2003-12-08,68468278362
161,-131.051284,63.620986,"05062 Melissa Estates Apt. 782
Williamsfurt, HI 55154",1995-08-13,67716545485
162,-162.258334,14.746516,"9203 Anna Lane Apt. 366
East Lisa, NJ 70756",2009-01-26,92228135125
163,120.895828,51.853447,"64834 Jessica Gardens Apt. 387
Port Katherinefort, NV 72139",2005-01-31,43301637115
164,63.663646,81.343414,"Unit 7021 Box 2066
DPO AE 73050",2014-10-21,95962227487
165,-159.489849,51.929428,"644 William Isle Suite 348
East Kelly, GU 00826",2017-10-21,94898948659
166,23.831612,-71.597726,"Unit 9813 Box 1512
DPO AE 98679",1998-12-29,30676401266
167,40.901979,-87.5078685,"95637 Smith Fields
New Timothychester, MI 93943",2020-02-20,11503216226
168,-105.507391,47.041283,"790 Evans Valley
Lake John, PA 68777",2016-02-04,37262282872
169,-129.392167,61.941876,"57145 Alexandria Spur
Billyside, WI 11351",2000-07-07,40635838694
170,-154.274936,66.5954965,"6087 Campbell Orchard
Rodriguezview, VI 05652",2021-09-17,99540239801
171,85.473623,76.2108595,"02117 Matthew Alley
Stanleyview, IN 69120",2010-11-28,95085605332
172,135.483762,70.0053635,"564 Mckinney Rue
Alyssachester, PW 83395",2005-08-31,32697852749
173,1.765043,32.903828,"115 Samuel Ford
North Danielle, NE 23256",2013-01-09,35429887129
174,153.265213,60.907644,"5158 Angela Fords
Floydfort, RI 51586",2016-08-21,49881055729
175,136.772540,53.281901,"1718 Gina Pines Suite 179
New Haleyshire, WI 18209",2018-11-10,12041262131
176,-70.344140,-63.216580,"38547 Jared Station
South Elizabeth, KS 18241",2007-06-28,92228135125
177,132.186838,42.6961445,"94833 Kristen Gateway Apt. 525
West Andreamouth, LA 04595",2012-11-05,27790438163
178,6.288686,-78.9970535,"7053 Munoz Meadows Suite 171
East Lisa, IN 45627",2016-09-14,11413035911
179,1.703666,-63.582522,"PSC 2935, Box 2917
APO AP 30844",2019-08-26,31448412680
180,-165.459946,-32.894232,"836 Nicole Viaduct Suite 948
Debrafort, PW 39504",2008-03-07,68468278362
181,177.993114,44.786435,"421 Spence Estate Suite 277
Lake Michellefurt, MN 31538",1995-10-23,80284223901
182,103.724170,83.2019115,"812 Allen Ways Apt. 233
Hartmanmouth, WV 00604",2017-09-24,77301406818
183,-40.268170,45.327166,"90024 Smith Dale
Brewerside, ND 55355",2018-07-19,27790438163
184,-119.082278,-11.583638,"7069 Sarah Overpass
Lake Jenniferburgh, LA 50454",2009-03-18,86608154029
185,104.679369,88.080301,"47691 Ramos Mills Suite 389
East Bailey, NY 85359",2022-06-01,93076836394
186,126.805381,-34.960741,"171 Christopher Rest
Sarahaven, WI 43437",2022-12-25,51606694807
187,-27.954857,-74.3766745,"32408 Daniel Wells
New Ryan, KS 57842",1997-04-24,83423591462
188,51.743261,32.550631,"024 Anthony Lakes Apt. 679
East Michaelport, NE 96068",1998-06-26,36572860757
189,-68.225828,-81.7658645,"9683 Madison Plains Suite 329
Robertside, ID 63157",2004-07-20,25257260110
190,125.004165,-41.8483955,"74360 Moses Locks Apt. 679
Woodardtown, OK 70318",2018-09-01,49708302150
191,-48.945624,50.226076,"166 Cruz Square
Hollyside, NC 36210",2018-12-14,80284223901
192,132.737212,-52.9570525,"USS Brock
FPO AP 81342",2014-10-23,83736022361
193,-4.658054,50.269167,"13743 Miller Parkway Suite 439
East Lisamouth, CO 10201",1999-05-02,30209280267
194,137.018197,-70.9730385,"3198 Jones Springs
New Lisa, WA 14353",2002-11-23,38519996953
195,44.450455,-53.5524275,"108 Melissa Circle Suite 352
Melissahaven, FL 87410",2002-10-22,83736022361
196,167.518971,-58.825064,"29225 Sosa Manor
South Ann, CT 03705",2014-11-27,16174323824
197,-141.715615,71.260548,"2221 Michael Fort Apt. 936
East Amanda, WV 43841",2018-04-20,22000563558
198,-2.505084,-71.1436295,"8687 Lara Shoals
New Elijahville, AL 00714",2000-03-07,49684052306
199,152.039616,73.633825,"274 Holly Village
Elizabethton, GA 46589",2021-04-17,38519996953
